	Bayesian Skyline: pop2.log			
Time	Mean	Median	Upper	Lower
0.0	0.039849957127278075	0.030031623269779418	0.13431985227207788	0.0064406271443639505
1.0322444928301074E-5	0.03988726811510962	0.030311974905236416	0.13196701348187861	0.00742036339778441
2.064488985660215E-5	0.039977884558247107	0.030554695470745626	0.13083553941113613	0.008525476167341138
3.096733478490323E-5	0.03999171840054375	0.03070934718359649	0.1285741371252893	0.009741959823066708
4.12897797132043E-5	0.03992333198022096	0.030821727690248046	0.12647329264999072	0.010710480041079287
5.161222464150537E-5	0.039936323575189586	0.030931259667046955	0.12551419230449956	0.01154887522462135
6.193466956980644E-5	0.039923524532106736	0.031042141105679294	0.12397323976302828	0.012044025345466182
7.225711449810751E-5	0.03971064112223598	0.031157584157293052	0.12025555715068081	0.012309355176943973
8.257955942640858E-5	0.03967998464618537	0.03135927467863953	0.11902621832734019	0.012604096099649057
9.290200435470965E-5	0.039452703900429986	0.03139523272244248	0.11512829331101548	0.013088014773691318
1.0322444928301072E-4	0.03890618329290439	0.03128425551047089	0.10998566246069436	0.013182173187897684
1.135468942113118E-4	0.038729891444654	0.031246832841705086	0.10865940866770359	0.013140388484369492
1.2386933913961288E-4	0.038671541209400286	0.03132395992690625	0.10816820236129471	0.013273509841917216
1.3419178406791395E-4	0.03850192697364453	0.031244687659161316	0.10586609465379831	0.013273509841917216
1.4451422899621502E-4	0.03824457357523	0.031244687659161316	0.10211998047095995	0.013286799977467895
1.548366739245161E-4	0.03807144892942746	0.03118536117242577	0.10047534276312509	0.013399582295465865
1.6515911885281716E-4	0.03773932750815302	0.031077378908106194	0.09846660883327209	0.013250703891999862
1.7548156378111824E-4	0.03752289359500066	0.031030577039710783	0.09749418899893475	0.013193477749721209
1.858040087094193E-4	0.037466681033577746	0.031006456409687865	0.09669099694277111	0.013107610156086589
1.9612645363772038E-4	0.03726313090245091	0.030902764879620685	0.09577592742028428	0.012902231617176763
2.0644889856602145E-4	0.03698774010693242	0.030802489069337444	0.09459282136155853	0.012665913089757076
2.1677134349432252E-4	0.0367389755876902	0.030739983963576734	0.09380335125960362	0.012357928963106722
2.270937884226236E-4	0.03640859994571631	0.03065985191437346	0.09288984967586522	0.012116619131025231
2.3741623335092466E-4	0.036121260142531475	0.03057612662006399	0.09109313567314696	0.011934175232927485
2.4773867827922576E-4	0.035892729238908294	0.030494927811106246	0.09103521858324046	0.011567596414152635
2.5806112320752683E-4	0.035608886185487326	0.03037321812360378	0.08971829224429709	0.011255859633462349
2.683835681358279E-4	0.03540218272407443	0.0302280615371078	0.08888360974058788	0.010924716275864341
2.7870601306412897E-4	0.03514465070995138	0.03014947423162205	0.08742538382032673	0.010731839503686296
2.8902845799243004E-4	0.034815412621173256	0.02995553633069955	0.0864182056308223	0.010387513554677192
2.993509029207311E-4	0.03455718577140836	0.029839081119499847	0.08541453219032268	0.010109031495699972
3.096733478490322E-4	0.0342170866543754	0.02970578521210904	0.08376523304016371	0.009848082487233392
3.1999579277733326E-4	0.034029423801034166	0.029530143117475358	0.08351670307711377	0.009588312788457107
3.3031823770563433E-4	0.03373234982838122	0.02937886745884418	0.08257870529678234	0.009399625524315483
3.406406826339354E-4	0.03347636054094893	0.029196748306173418	0.08188093650469759	0.009055430859847865
3.5096312756223647E-4	0.033252009291318725	0.02902866628588455	0.0816837525397372	0.008817226059167635
3.6128557249053754E-4	0.03295557206393666	0.028855447748472235	0.08016872586777463	0.008379871955253089
3.716080174188386E-4	0.03276967810571709	0.028708294587850437	0.0798430717360977	0.008079521522551163
3.819304623471397E-4	0.032393294042572386	0.028468733523522707	0.07933290220266966	0.007829964075742407
3.9225290727544075E-4	0.03208927273704234	0.02825194220364859	0.07914900651953939	0.007555839785387902
4.025753522037418E-4	0.03179554733325912	0.028132581587810165	0.07871119672936505	0.0072132702195202335
4.128977971320429E-4	0.0315146390225558	0.027893628188060637	0.07806833924540406	0.006678546439620364
4.2322024206034397E-4	0.03126212580639564	0.027629803367776436	0.07737666231867348	0.0062447737456407665
4.3354268698864504E-4	0.03097427761296687	0.0273975776997377	0.0771369364135642	0.005898702316403298
4.438651319169461E-4	0.03061919031778751	0.02712640258699601	0.07627133895218456	0.005464575673356721
4.541875768452472E-4	0.03031850155920931	0.02687618904531145	0.07573744288540629	0.005190737796244342
4.6451002177354825E-4	0.02999611046534637	0.0266540817953491	0.07479748890406497	0.004920048219583124
4.748324667018493E-4	0.02969535522854308	0.0264299368832666	0.07446475093914552	0.004709647301469428
4.851549116301504E-4	0.029434106762333535	0.0261950378008376	0.0743240331651738	0.004427605472464525
4.954773565584515E-4	0.02917789449261138	0.026019386338788773	0.07408619507661017	0.004078956423666397
5.057998014867526E-4	0.02887778639424338	0.025794506174351396	0.07370132591526246	0.0038592965643608206
5.161222464150538E-4	0.028535502251741268	0.025550011755005896	0.07336301674322522	0.00369272669701509
5.264446913433549E-4	0.028069466716885618	0.025153160984745047	0.07189193017209636	0.0033586042572941142
5.36767136271656E-4	0.027732091068230373	0.024926355586383443	0.07174280690636818	0.0030148936951719016
5.470895811999571E-4	0.0273922095773011	0.02459621936423386	0.0711880527145355	0.002894786534460604
5.574120261282583E-4	0.027085351852006168	0.024362867939796452	0.07079514179773296	0.00264653229781732
5.677344710565594E-4	0.026694359302176254	0.024035775457441323	0.07051762997028617	0.002419082945753084
